gid,placename,pop,x,y
82097,Doctor Arroyo,10272,-100.18,23.6730555555556
82870,García,93641,-100.599166666667,25.8122222222222
82905,Parque Industrial Ciudad Mitras,18312,-100.447777777778,25.7886111111111
82938,Villas Del Poniente,18246,-100.425833333333,25.7758333333333
82950,San Pedro Garza García,122627,-100.401666666667,25.6641666666667
83100,Ciudad General Escobedo,352444,-100.326944444444,25.8086111111111
83622,Fraccionamiento Real Palmas,34636,-100.159722222222,25.9041666666667
83633,Guadalupe,673616,-100.235,25.6791666666667
104647,Ameca,36156,-104.043055555556,20.5486111111111
83810,Ciudad Benito Juárez,151893,-100.094722222222,25.6475
83823,Jardines De La Silla (Jardines),53742,-100.187777777778,25.6294444444444
83904,Arboledas De San Roque,25793,-100.143055555556,25.6105555555556
83959,Linares,63104,-99.5666666666667,24.86
84531,Montemorelos,45108,-99.8266666666667,25.1872222222222
84935,Monterrey,1135512,-100.308611111111,25.6713888888889
85321,Ciudad Sabinas Hidalgo,33068,-100.184444444444,26.5030555555556
85637,San Nicolás De Los Garza,443273,-100.302222222222,25.7416666666667
85638,Hidalgo,16524,-100.450833333333,25.9755555555556
85654,Ciudad Santa Catarina,268347,-100.462222222222,25.6755555555556
85700,Santiago,36840,-100.1525,25.4269444444444
85957,Acaponeta,19140,-105.360833333333,22.4925
86181,Compostela,17573,-104.900833333333,21.2372222222222
86240,Las Varas,14077,-105.136944444444,21.1783333333333
86559,Ixtlán Del Río,23303,-104.367777777778,21.0341666666667
86667,Xalisco,35702,-104.901666666667,21.4441666666667
87277,Ruiz,14050,-105.145555555556,21.9502777777778
87356,San Blas,10187,-105.285555555556,21.5397222222222
87594,Santiago Ixcuintla,18241,-105.206666666667,21.8113888888889
87752,Tecuala,14511,-105.457222222222,22.3972222222222
87846,Tepic,332863,-104.894166666667,21.5163888888889
88018,Tuxpan,21709,-105.299444444444,21.9436111111111
88427,Bucerías,13098,-105.334722222222,20.7552777777778
88447,Mezcales,20092,-105.284444444444,20.7302777777778
89223,Jojutla,18867,-99.1802777777778,18.6147222222222
88458,San José Del Valle,22541,-105.228055555556,20.7625
88459,San Juan De Abajo,10442,-105.191666666667,20.815
88462,San Vicente,14324,-105.251111111111,20.7469444444444
88739,Axochiapan,17508,-98.7538888888889,18.5025
88795,Anenecuilco,10773,-98.9861111111111,18.7780555555556
88796,San Pedro Apatlaco,12630,-98.9597222222222,18.7930555555556
88938,Cuautla,154358,-98.9558333333333,18.8122222222222
88994,Cuernavaca,338650,-99.2341666666667,18.9186111111111
89059,Emiliano Zapata,49193,-99.1841666666667,18.8394444444444
89063,Tres De Mayo,17966,-99.2083333333333,18.8686111111111
89195,Jiutepec,162427,-99.1777777777778,18.8813888888889
89198,Progreso,14525,-99.1533333333333,18.88
89410,Puente De Ixtla,21098,-99.3197222222222,18.6166666666667
89417,Xoxocotla,21074,-99.2438888888889,18.685
89499,Temixco,97788,-99.2272222222222,18.8544444444444
89535,Tepalcingo,12053,-98.8436111111111,18.5963888888889
89573,Tepoztlán,14130,-99.0997222222222,18.9852777777778
89661,Tetela Del Volcán,10199,-98.7297222222222,18.8930555555556
89700,Tlaltizapán,10563,-99.1177777777778,18.6833333333333
89710,Santa Rosa Treinta,16691,-99.1788888888889,18.6983333333333
89765,Tlaquiltenango,18334,-99.1602777777778,18.6288888888889
89872,Xochitepec,19164,-99.2313888888889,18.7808333333333
89885,Unidad Habitacional José María Morelos Y Pavón,10625,-99.2622222222222,18.8202777777778
107223,El Grullo,20924,-104.215555555556,19.8075
89951,Yautepec De Zaragoza,42731,-99.0605555555556,18.8858333333333
89963,La Joya,13715,-99.1222222222222,18.8841666666667
90053,Yecapixtla,16811,-98.865,18.8833333333333
90058,Juan Morales,12756,-98.9219444444444,18.8113888888889
90114,Zacatepec De Hidalgo,21586,-99.1911111111111,18.6563888888889
90115,San Nicolás Galeana,10726,-99.2097222222222,18.6411111111111
90472,Apatzingán De La Constitución,99010,-102.350833333333,19.0886111111111
91175,Ario De Rosales,16595,-101.708055555556,19.2072222222222
91310,Arteaga,10537,-102.289166666667,18.3575
91697,Buenavista Tomatlán,10390,-102.586388888889,19.2094444444444
91703,Felipe Carrillo Puerto (La Ruana),10217,-102.708611111111,19.1605555555556
92037,Coalcomán De Vázquez Pallares,10784,-103.16,18.7775
92581,Cotija De La Paz,13560,-102.704722222222,19.81
92661,Cuitzeo Del Porvenir,10239,-101.14,19.9691666666667
92775,Cherán,14245,-101.954722222222,19.6866666666667
93238,Lombardía,12610,-102.051111111111,19.1580555555556
93279,Ciudad Hidalgo,60542,-100.553611111111,19.6916666666667
93742,Huetamo De Núñez,21864,-100.897222222222,18.6269444444444
94148,Jacona De Plancarte,56934,-102.302777777778,19.9555555555556
94210,Jiquilpan De Juárez,24233,-102.717222222222,19.9941666666667
94670,Maravatío De Ocampo,34381,-100.442777777778,19.8933333333333
94843,Ciudad Lázaro Cárdenas,79200,-102.192222222222,17.9561111111111
94859,Las Guacamayas,37980,-102.212222222222,18.0180555555556
94865,La Mira,13415,-102.330277777778,18.0361111111111
94868,La Orilla,20126,-102.226944444444,17.9958333333333
95000,Morelia,597511,-101.185555555556,19.7022222222222
95061,Morelos,13565,-101.238888888889,19.6488888888889
95251,Conjunto Habitacional Villas Del Pedregal,10934,-101.303611111111,19.6836111111111
95329,Nueva Italia De Ruiz,32467,-102.094166666667,19.025
95381,Nahuatzen,10283,-101.915833333333,19.6536111111111
95533,Nuevo San Juan Parangaricutiro,14772,-102.128611111111,19.4166666666667
95696,Pajacuarán,10014,-102.566666666667,20.1177777777778
95825,Paracho De Verduzco,18868,-102.048333333333,19.6438888888889
95840,Pátzcuaro,55298,-101.609722222222,19.5163888888889
95977,Peribán De Ramos,15434,-102.415,19.5211111111111
96068,La Piedad De Cabadas,83323,-102.025,20.3391666666667
96172,Purépero De Echáiz,13856,-102.006944444444,19.9105555555556
96180,Puruándiro,30571,-101.515833333333,20.0880555555556
96264,Quiroga,14669,-101.523055555556,19.6658333333333
96296,Los Reyes De Salgado,39209,-102.474166666667,19.59
96351,Sahuayo De Morelos,64431,-102.723888888889,20.0575
96488,Santa Clara Del Cobre,14359,-101.638333333333,19.4052777777778
96524,Opopeo,10055,-101.605277777778,19.4125
96719,Tacámbaro De Codallos,25665,-101.456944444444,19.2355555555556
97030,Santiago Tangamandapio,10463,-102.432777777778,19.9563888888889
97052,Tangancícuaro De Arista,15068,-102.205,19.8888888888889
97243,Tepalcatepec,15221,-102.846111111111,19.1891666666667
98772,Uruapan,264439,-102.058333333333,19.4194444444444
99003,Venustiano Carranza,11987,-102.664444444444,20.1119444444444
99075,Vista Hermosa De Negrete,10752,-102.480555555556,20.2727777777778
99091,Yurécuaro,23843,-102.283055555556,20.3375
99116,Zacapu,52806,-101.790833333333,19.8166666666667
99164,Zamora De Hidalgo,141627,-102.283055555556,19.9855555555556
99263,Zinapécuaro De Figueroa,15875,-100.827222222222,19.8586111111111
99392,Heróica Zitácuaro,84307,-100.358888888889,19.4380555555556
99696,Tepexpan,102667,-98.9144444444445,19.6136111111111
99852,San Francisco Tlalcilalcalpan,16509,-99.7688888888889,19.2922222222222
120623,Arcelia,18685,-100.281666666667,18.3211111111111
100206,San Salvador Atenco,17124,-98.9125,19.5583333333333
100143,Amecameca De Juárez,31687,-98.7627777777778,19.1277777777778
100188,Apaxco De Ocampo,13836,-99.17,19.9733333333333
100226,Ciudad López Mateos,489160,-99.2469444444445,19.5611111111111
100233,Atlacomulco De Fabela,22774,-99.8744444444444,19.7975
100297,Atlautla De Victoria,10967,-98.7805555555556,19.0272222222222
100391,Calimaya De Díaz González,11165,-99.6172222222222,19.1608333333333
100421,Capulhuac De Mirafuentes,20757,-99.4647222222222,19.1916666666667
100434,San Francisco Coacalco,277959,-99.0930555555556,19.6333333333333
100506,Coyotepec,35677,-99.2055555555556,19.7755555555556
100512,Cuautitlán,108449,-99.1791666666667,19.6669444444444
100539,Chalco De Díaz Covarrubias,168720,-98.8975,19.2647222222222
100541,San Gregorio Cuautzingo,13138,-98.8577777777778,19.2561111111111
100543,San Juan Tezompa,11819,-98.9588888888889,19.2063888888889
100545,San Marcos Huixtoco,12229,-98.8608333333333,19.2961111111111
100546,San Martín Cuautlalpan,23501,-98.8327777777778,19.2727777777778
100547,San Mateo Huitzilzingo,15389,-98.9252777777778,19.2258333333333
100549,San Pablo Atlazalpan,11236,-98.9066666666667,19.2166666666667
100550,Santa Catarina Ayotzingo,10702,-98.9294444444444,19.2091666666667
100551,Santa María Huexoculco,12456,-98.8036111111111,19.2552777777778
100654,Chicoloapan De Juárez,172919,-98.9011111111111,19.4152777777778
100670,Chiconcuac De Juárez,21738,-98.8925,19.5583333333333
100672,Chimalhuacán,612383,-98.9541666666667,19.4375
100708,Ecatepec De Morelos,1655015,-99.06,19.6097222222222
100720,Huehuetoca,11948,-99.2033333333333,19.8341666666667
100737,Colonia Santa Teresa,36845,-99.2333333333333,19.845
100766,Jesús Del Monte,23150,-99.2944444444444,19.375
100769,Magdalena Chichicaspa,12193,-99.3227777777778,19.4180555555556
100777,Santiago Yancuitlalpan,10013,-99.3055555555556,19.3819444444444
100787,Naucalpan De Juárez,121470,-99.2766666666667,19.3969444444444
100838,Ixtapaluca,322271,-98.8822222222222,19.3186111111111
100839,San Buenaventura,44761,-98.8630555555555,19.3025
100843,San Francisco Acuautla,27960,-98.8586111111111,19.3441666666667
100883,San Jerónimo Cuatro Vientos (San Jerónimo),36778,-98.8416666666667,19.2930555555556
100890,Ixtapan De La Sal,17640,-99.6752777777778,18.8441666666667
100955,San Bartolo Del Llano,12227,-99.7388888888889,19.5897222222222
100969,San Pedro Los Baños,12149,-99.8336111111111,19.6666666666667
101004,Xalatlaco,15043,-99.4163888888889,19.1811111111111
101023,Jaltenco,11093,-99.0944444444444,19.7486111111111
101024,Alborada Jaltenco,15235,-99.0688888888889,19.6619444444444
101025,Jilotepec De Molina Enríquez,11828,-99.5327777777778,19.9519444444444
101260,Juchitepec De Mariano Rivapalacio,16021,-98.8791666666667,19.0997222222222
101283,Lerma De Villada,22713,-99.5116666666667,19.2855555555556
101306,San Pedro Tultepec,13634,-99.5130555555556,19.2663888888889
101308,Santa María Atarasquillo,13769,-99.4602777777778,19.3269444444444
101396,Melchor Ocampo,38599,-99.1391666666667,19.7047222222222
101405,Metepec,28205,-99.6047222222222,19.2502777777778
101408,San Bartolomé Tlaltelulco,11141,-99.6283333333333,19.2255555555556
101409,San Francisco Coaxusco,24900,-99.6147222222222,19.2655555555556
101411,San Jerónimo Chicahualco,26281,-99.5869444444444,19.28
101412,San Jorge Pueblo Nuevo,23107,-99.6277777777778,19.2541666666667
101416,San Salvador Tizatlalli,61367,-99.5908333333333,19.2602777777778
101477,Naucalpan De Juárez,792211,-99.2377777777778,19.4752777777778
101535,Ciudad Nezahualcóyotl,1104585,-98.9888888888889,19.4
101542,Santa Ana Nextlalpan,14871,-99.0725,19.7402777777778
101576,Villa Nicolás Romero,281799,-99.3141666666667,19.625
101581,Progreso Industrial,11289,-99.3577777777778,19.6333333333333
101606,Veintidós De Febrero,13021,-99.3466666666667,19.6113888888889
101629,Ocoyoacac,26015,-99.4605555555556,19.2738888888889
101756,Otumba De Gómez Farías,10097,-98.7547222222222,19.6969444444444
101833,Villa Cuauhtémoc,11241,-99.5580555555556,19.4166666666667
101872,Ozumba De Alzate,16700,-98.7936111111111,19.0391666666667
101890,Los Reyes Acaquilpan,85359,-98.98,19.3605555555556
101891,La Magdalena Atlicpac,26429,-98.9563888888889,19.37
101892,San Sebastián Chimalpa,12951,-98.9527777777778,19.3805555555556
101894,Emiliano Zapata,25309,-98.9747222222222,19.3436111111111
101895,Profesor Carlos Hank González,10416,-98.9388888888889,19.3722222222222
101901,Lomas De San Sebastián,12372,-98.9377777777778,19.3819444444444
101903,San Isidro,33737,-98.9505555555556,19.3397222222222
101946,San Antonio La Isla,12525,-99.5672222222222,19.1630555555556
102056,San Martín De Las Pirámides,12812,-98.8338888888889,19.7027777777778
102076,San Mateo Atenco,67890,-99.5297222222222,19.2641666666667
102239,Tecámac De Felipe Villanueva,15911,-98.9683333333333,19.7130555555556
102240,Los Reyes Acozac,21910,-98.9816666666667,19.7736111111111
102243,Santa María Ajoloapan,17784,-98.9638888888889,19.7625
102244,Ojo De Agua,242272,-99.01,19.6802777777778
102246,San Martín Azcatepec,35390,-98.9727777777778,19.6866666666667
102264,Fraccionamiento Social Progresivo Santo Tomás Chiconautla,15061,-98.9941666666667,19.6566666666667
102284,Tejupilco De Hidalgo,25631,-100.152777777778,18.9058333333333
102499,Temascalcingo De José María Velasco,12698,-100.003611111111,19.9147222222222
102691,Tenancingo De Degollado,14174,-99.5936111111111,18.9613888888889
102772,Tenango De Arista,21765,-99.5888888888889,19.1025
102812,Teoloyucan,51255,-99.1811111111111,19.7441666666667
102818,Teotihuacán De Arista,23325,-98.8608333333333,19.6897222222222
102885,Tepetlixpa,13239,-98.8205555555556,19.0258333333333
102908,Tepotzotlán,38119,-99.2236111111111,19.7161111111111
102948,Tequixquiac,22676,-99.1447222222222,19.9094444444444
102999,Texcoco De Mora,105165,-98.8819444444444,19.5055555555556
103008,San Miguel Coatlinchán,22619,-98.8722222222222,19.4488888888889
103014,Santiago Cuautlalpan,12336,-98.9013888888889,19.4313888888889
103016,Santa María Tulantongo,15584,-98.8705555555556,19.5319444444444
103069,Tezoyuca,16933,-98.9125,19.5913888888889
103083,Santiago Tianguistenco De Galeana,13106,-99.4683333333333,19.1805555555556
103093,San Pedro Tlaltizapan,11472,-99.4997222222222,19.1966666666667
103094,Santiago Tilapa,10087,-99.4197222222222,19.1855555555556
103147,Tlalmanalco De Velázquez,14786,-98.8025,19.2044444444444
103150,San Rafael,20873,-98.7577777777778,19.2088888888889
103183,Tlalnepantla,653410,-99.1947222222222,19.5366666666667
