gid,genus,species,x,y
774528,Quercus,acutifolia,-92.4166666666667,16.4833333333333
774529,Quercus,acutifolia,-104.983055555556,21.5047222222222
774530,Quercus,acutifolia,-104.023,19.425
774531,Quercus,acutifolia,-91.6152777777778,16.3652777777778
774532,Quercus,acutifolia,-93.3008333333333,16.4502777777778
774533,Quercus,acutifolia,-104.822222222222,20.3805555555556
774534,Quercus,acutifolia,-103.69,19.42
774535,Quercus,acutifolia,-104.786813888889,20.2564972222222
774536,Quercus,acutifolia,-92.8991694444444,17.1591694444444
774537,Quercus,acutifolia,-96.17083,16.575
774538,Quercus,acutifolia,-100.172,19.862
774539,Quercus,acutifolia,-92.9027777777778,17.1861111111111
774540,Quercus,acutifolia,-97.333,18.05
774541,Quercus,acutifolia,-92.9805555555556,16.0333333333333
774542,Quercus,acutifolia,-97.8752777777778,17.6325
774543,Quercus,acutifolia,-99.658,17.525
774544,Quercus,acutifolia,-104.226666666667,19.5877777777778
774545,Quercus,acutifolia,-93.6083333333333,16.1583333333333
774546,Quercus,acutifolia,-93.45,16.8861111111111
774547,Quercus,acutifolia,-106.55,25.45
774548,Quercus,acutifolia,-102.07833333333,19.351666666667
774549,Quercus,acutifolia,-95.95,16.2
774550,Quercus,acutifolia,-97.333333333333,18.05
774551,Quercus,acutifolia,-100.82833333333,19.7
774552,Quercus,acutifolia,-98.725,20.785
774553,Quercus,acutifolia,-92.9166666666667,17.1944444444444
774554,Quercus,acutifolia,-97.3616666666667,17.7266666666667
774555,Quercus,acutifolia,-100.161111111111,25.2625
774556,Quercus,acutifolia,-98.883,19.438
774557,Quercus,acutifolia,-101.737,19.672
774559,Quercus,acutifolia,-101.408833333333,18.1901388888889
774560,Quercus,acutifolia,-100.11833333333,20.806388888889
774561,Quercus,acutifolia,-92.925,16.8916666666667
774562,Quercus,acutifolia,-103.733333333333,19.45
774565,Quercus,acutifolia,-96.8416666666667,19.3583333333333
774566,Quercus,acutifolia,-98.898333333333,19.475
774567,Quercus,acutifolia,-101.345277777778,19.4325
774568,Quercus,acutifolia,-92.9791666666667,16.0347222222222
774569,Quercus,acutifolia,-99.4530555555556,17.5775
774570,Quercus,acutifolia,-97.6361111111111,17.1986111111111
774571,Quercus,acutifolia,-99.176666666667,17.598611111111
774572,Quercus,acutifolia,-97.124777,16.678286
774573,Quercus,acutifolia,-93.8805555555556,16.6638888888889
774574,Quercus,acutifolia,-97.437575,17.5826638888889
774575,Quercus,acutifolia,-98.628333333333,20.728333333333
774576,Quercus,acutifolia,-103.707,19.465
774577,Quercus,acutifolia,-101.8,19.4633333333333
